"SDOH_VAR","pe","ee1","ee2"
"CRANE_27",5.10594547390058,1.25101691907312,1.45711861288504
"CRANE_28",6.99393297522319,3.79612835768515,5.21936490021714
"CRANE_29",6.71901315438526,3.73996287227954,5.13629318209979
"CRANE_3",6.79682371827486,3.76265753044132,5.16985977966358
"CRANE_30",6.71901315438526,3.73999029962799,5.13633374859614
"CRANE_31",6.38856140554563,3.64854361249489,5.00108556271698
"CRANE_32",7.0475172213573,3.80076370079371,5.22622081739317
"CRANE_33",6.69456205852109,3.62589568595573,4.96758808369018
"CRANE_34",5.50938833662798,2.80802620832381,4.374570231338
"CRANE_35",5.54517744447956,2.48888898673416,3.28652437137914
"CRANE_36",6.18826412308259,2.85599031782553,3.82912167147923
"CRANE_37",4.64439089914137,1.00700141784311,1.09646478543614
"CRANE_38",6.0282785202307,2.45419303245433,3.23492407290709
"CRANE_39",6.86380339145295,3.76511756424445,5.17349829953351
"CRANE_4",6.97914527506881,3.81485934201891,5.24706901493097
"CRANE_40",6.66949808985788,3.73278941513873,5.12568955250286
"CRANE_41",6.85540879860993,3.78562099358513,5.2038239539871
"CRANE_42",6.7990558620588,3.76523471745436,5.17367157531596
"CRANE_43",6.51025834052315,3.69951357691585,5.07646653877548
"CRANE_44",5.98141421125448,3.40917373642249,4.6471770155362
"CRANE_45",6.89467003943348,3.79228378689143,5.21367857704284
"CRANE_46",7.06219163228656,3.8275698762821,5.26587485837665
"CRANE_47",6.90073066404517,3.78032325703888,5.19598832194632
"CRANE_48",7.10414409298753,3.83356906539782,5.27474168357012
"CRANE_49",6.95368421087054,3.82147504515689,5.2568539891417
"CRANE_5",6.9985096422506,3.81818114276266,5.25198213360224
"CRANE_50",6.95368421087054,3.82147504515689,5.2568539891417
"CRANE_51",7.05531284333975,3.82842659140861,5.2671608619684
"CRANE_52",5.95842469302978,3.41716080176191,4.66024587695755
"CRANE_53",7.16703787691222,3.85558078377007,5.30729817713006
"CRANE_54",5.77455154554441,2.63628941024158,3.50459400967994
"CRANE_55",5.4971682252932,1.9400686996714,2.47562076674557
"CRANE_56",0.693147180559945,0.707095598462875,0.652850491954801
"CRANE_6",7.09754885061479,3.8450760123427,5.29176106559974
"CRANE_7",5.19849703126583,3.15625533486857,4.27304700921512
"CRANE_8",5.4380793089232,0.753574618748083,3.51836452448898
"CRANE_9",6.86066367144829,3.77917011990411,5.19428277124524
"D1A",7.71154897962915,4.28956805179883,6.37059270055319
"D1B",7.71199650704767,4.28963810906654,6.37070445183709
"D1C",7.71199650704767,4.28963810906654,6.37070445183709
"D1C5_ENT",7.27931883541462,3.20095074245579,4.63454699082444
"D1C5_IND",7.62900388965296,4.16453409799511,6.17120247372324
"D1C5_OFF",7.48380668766583,3.80172491663609,5.59247034284657
"D1C5_RET",7.42773884053289,3.64323759223584,5.33983868504028
"D1C5_SVC",7.68937110752969,4.27340428292128,6.3448091953771
"D1C8_ED",6.87729607149743,2.38987670703168,3.34155413234064
"D1C8_ENT",7.27931883541462,3.20095074245579,4.63454699082444
"D1C8_HLTH",7.54009032014532,3.98149140673612,5.87922340539616
"D1C8_IND",7.62900388965296,4.16453409799511,6.17120247372324
"D1C8_OFF",7.40123126441302,3.51528103905441,5.13564886259117
"D1C8_PUB",6.57646956904822,2.24460033188069,3.11005248654456
"D1C8_RET",7.42773884053289,3.64323759223584,5.33983868504028
"D1C8_SVC",7.58578882173203,4.02028387263284,5.94107050890497
"D1D",7.71199650704767,4.28963810906654,6.37070445183709
"D1_FLAG",0,0.2927405401791,0
"D2A_EPHHM",7.71154897962915,4.28960153353819,6.3706461086789
"D2A_JPHH",7.69530313496357,4.28722473744366,6.36685478161464
"D2A_RANKED",2.99573227355399,2.10483452399711,2.88594034041719
"D2A_WRKEMP",7.69712131728263,4.28533329416778,6.36383766117303
"D2B_E5MIX",7.67322312112171,4.27402490890001,6.34580727805521
"D2B_E5MIXA",7.67322312112171,4.27402490890001,6.34580727805521
"D2B_E8MIX",7.68616230349291,4.28299037416788,6.36010037128709
