"SDOH_VAR","pe","ee1","ee2","ee3"
"H_RV_OWNER",0.693147180559945,0.312459294701612,0,0.312459294701612
"H_SELF_IMPROVE",0.693147180559945,0.358518105151337,0,0.358518105151337
"H_SINGLE_PARENT",0.693147180559945,0.258415214441462,0,0.258415214441462
"H_SMART_HOME",0.693147180559945,0.272512313717169,0,0.272512313717169
"H_SMOKING",0.693147180559945,0.257399682162338,0,0.257399682162338
"H_SNOW_SKI",0.693147180559945,0.168134247283039,0,0.168134247283039
"H_SPORTS",0.693147180559945,0.253971754983619,0,0.253971754983619
"H_TOTAL_SPEND_2YR",7.57967882309046,1.70258687188199,6.58825349718745,6.58825349718745
"H_TRUCK_OWNER",0.693147180559945,0.367870280460976,0,0.367870280460976
"H_VEGETARIAN",0.693147180559945,0.0779159003609586,0,0.0779159003609586
"H_VEHICLE_COUNT",1.38629436111989,0.671764500942227,1.04745579377608,1.04745579377608
"H_VETERAN",0.693147180559945,0.286164115417517,0,0.286164115417517
"H_VETERAN_AID",0.693147180559945,0.308196497981597,0,0.308196497981597
"H_WALKING",0.693147180559945,0.367772533151842,0,0.367772533151842
"H_WINE",0.693147180559945,0.288906239093339,0,0.288906239093339
"H_WOMAN_WORKING",0.693147180559945,0.365095402265877,0,0.365095402265877
"H_WOODWORKING",0.693147180559945,0.361176118665689,0,0.361176118665689
"P_COUNTRY_ORIGIN",3.89182029811063,1.73942359551563,1.94241140204027,1.94241140204027
"P_DMA_OPT_OUT",0.693147180559945,0.0429093814758111,0,0.0429093814758111
"P_EDUCATION",1.79175946922805,1.15839180891666,1.32205516583951,1.32205516583951
"P_EMAIL_AVAIL",0.693147180559945,0.207219154785071,0,0.207219154785071
"P_ETHNIC_GRP",2.19722457733622,0.55622300196983,0.446182709980082,0.446182709980082
"P_HISPANIC_LANG",1.6094379124341,0.325121003831889,0.187659433301925,0.187659433301925
"P_OCCUPATION",3.29583686600433,1.56269596849673,2.4250849056863,2.4250849056863
"P_POLITIC_PARTY",1.6094379124341,1.01910675964296,1.31415347408635,1.31415347408635
"P_PROMINENCE",2.484906649788,1.9649393986636,2.21367638334464,2.21367638334464
"P_RACE",2.19722457733622,0.362000087075193,1.08362767690939,1.08362767690939
